AD,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable/EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity)
23,8231,6738,55,841,348,82,24,19096,25
24,12670,2099,37,1155,157,66,10,11985,23
25,7483,2306,50,937,179,59,26,13485,37
26,8955,4874,62,1023,331,70,25,20901,50
27,6758,3264,33,866,231,71,20,16738,32
28,12234,4361,46,2610,316,74,21,20917,43
29,15249,756,41,895,50,146,21,9521,21
30,11275,2355,36,1770,173,39,17,8761,30
31,9742,997,29,648,71,84,9,6908,15
32,12587,588,41,752,57,154,12,8807,18
33,16108,1721,58,987,123,163,25,11621,33
34,13238,2159,61,2977,174,58,16,9659,37
35,7646,1363,45,871,95,80,14,9149,16
36,20324,1891,26,5513,185,61,22,8847,51
37,17856,3106,42,4769,250,61,19,10457,49
38,11050,2687,45,2184,180,55,23,8328,15
39,9810,2075,38,1955,147,51,20,8360,30
40,5808,2265,47,691,164,69,16,9050,18
41,8809,3178,47,825,188,109,16,21247,23
42,17197,611,29,3789,48,118,15,10008,34
43,20100,526,40,5891,76,123,21,12303,22
44,28142,1265,31,10102,159,93,18,12149,65
45,4037,1978,23,502,177,67,11,23259,14
46,9909,4136,34,1588,301,87,18,18015,44
47,5789,2906,33,775,165,44,10,11220,14
48,3150,1042,20,393,85,431,7,29003,15
49,4725,2366,32,784,176,29,8,7922,15
50,20994,1399,25,5574,125,227,19,12188,29
51,12325,1249,42,4159,126,69,15,6635,18
52,32612,970,32,9331,142,103,27,14890,114
53,21947,983,35,6043,75,74,23,6680,24
54,12541,765,39,2416,54,86,16,5174,5
55,11584,385,42,1697,37,123,16,6076,15
56,21761,525,42,6326,42,184,25,6897,23
57,27181,542,40,8909,85,174,24,7982,41
58,13807,441,44,920,47,123,9,8351,16
59,11177,3152,27,753,202,96,14,14029,17
60,11136,552,37,625,55,172,20,8080,22
61,12469,3709,55,1319,200,121,20,14149,36
62,5279,12703,49,510,524,53,13,32062,24
63,9918,6958,53,992,366,119,16,20741,40
64,8768,8054,43,1240,442,56,16,22955,50
65,17193,1740,55,3125,164,81,34,13512,45
66,21645,1078,36,3413,154,59,20,22718,70
67,21508,1404,31,3122,158,74,31,24313,73
68,16602,1160,56,2595,108,112,27,11939,42
69,24848,1083,39,4688,159,92,24,17434,76
70,21339,756,35,4183,93,156,39,9437,42
71,20087,887,43,4745,103,114,27,9634,48
72,13740,1037,43,2763,87,75,19,9414,33
73,14571,1567,37,1677,152,65,23,34905,73
74,21280,1676,35,3570,191,67,27,18430,61
75,20340,1578,32,2922,145,88,20,18481,69
76,19245,1627,38,2695,162,60,28,30201,69
77,8391,581,45,773,55,99,15,6226,15
78,7556,850,30,835,63,94,16,6098,9
79,8192,633,33,680,63,100,25,6484,7
80,10630,2039,55,1079,112,77,12,8354,21
81,12679,1993,58,2175,165,81,20,13763,51
82,11801,4818,68,1082,265,121,22,14488,21
83,9360,575,35,568,41,102,11,7198,10
84,9017,746,44,1094,64,84,18,6701,16
85,8213,865,37,744,58,86,14,7221,16
86,6706,628,31,616,36,81,18,5951,18
87,11632,1026,41,1044,64,90,26,7487,22
