SD,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable/EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity)
10.0,23837,6109,100,1618,363,280,37,28671,50
11.0,28408,9134,113,2714,580,150,42,37258,83
12.0,33359,6758,91,8383,517,113,44,22474,71
13.0,22466,3274,117,3720,237,155,36,17424,60
14.0,33171,2882,109,3481,282,365,50,33110,79
15.0,23510,8376,100,2961,561,133,44,30647,58
16.0,16979,6156,123,2028,464,174,60,30574,73
17.0,14680,5460,80,2640,382,98,27,20583,37
18.0,40726,2247,81,10837,162,348,54,18389,37
19.0,27747,2289,82,1666,165,312,40,19746,40
20.0,54643,1603,80,17763,225,239,48,24558,95
21.0,38584,3419,84,6858,229,286,27,29390,62
22.0,9344,5425,64,1214,386,554,25,62949,45
23.0,20411,7902,103,2045,511,264,39,35599,56
24.0,16315,25079,119,1731,1130,170,30,66470,75
25.0,49019,1164,97,13953,136,409,57,17185,65
26.0,50085,5769,90,13571,508,166,44,30560,178
27.0,43519,3334,105,7521,363,164,64,38770,127
28.0,37227,3433,74,4672,350,138,56,70148,155
29.0,29329,2249,112,3879,204,228,50,22680,67
30.0,46847,1802,102,9115,209,313,67,22116,95
31.0,32651,2499,99,6757,226,195,56,22004,82
32.0,18094,1566,76,1703,112,216,48,14675,21
33.0,23297,3170,108,2935,238,197,40,20858,67
34.0,20594,5700,109,2075,316,151,38,18771,40
36.0,19792,2263,79,1372,148,230,25,17472,33
47.0,52238,3327,77,8078,384,187,59,50987,176
59.0,52084,3958,69,11805,402,147,46,30926,143
